iter	RMSE
0	6328.240664
1	6190.948503
2	6053.91269
3	5921.961343
4	5811.000588
5	5684.441316
6	5569.446017
7	5454.490108
8	5354.106414
9	5242.205593
10	5149.872484
11	5049.344915
12	4954.836287
13	4857.963027
14	4779.308477
15	4698.56694
16	4624.20636
17	4548.28575
18	4473.847264
19	4392.268575
20	4329.38913
21	4258.940869
22	4183.396868
23	4117.6851
24	4054.401963
25	3990.282152
26	3927.094355
27	3874.664873
28	3814.567104
29	3764.420835
30	3711.901239
31	3661.354337
32	3611.127251
33	3563.925156
34	3518.528457
35	3469.610213
36	3430.232839
37	3392.395821
38	3352.739288
39	3315.094902
40	3273.695482
41	3236.393746
42	3202.024823
43	3166.155093
44	3134.411902
45	3104.281915
46	3073.737875
47	3046.364838
48	3015.515985
49	2986.729668
50	2959.626039
51	2931.416969
52	2909.949221
53	2880.852264
54	2853.168344
55	2832.661266
56	2811.882383
57	2791.039954
58	2770.302624
59	2750.042854
60	2729.766848
61	2709.52353
62	2690.648957
63	2672.073532
64	2652.824001
65	2634.117367
66	2616.996043
67	2600.597996
68	2585.991721
69	2571.306986
70	2554.697585
71	2541.889059
72	2526.174225
73	2513.145533
74	2500.574677
75	2488.039
76	2475.178717
77	2463.266917
78	2450.310817
79	2441.911161
80	2431.34889
81	2420.827876
82	2409.925043
83	2401.719416
84	2392.612172
85	2382.772795
86	2372.282277
87	2363.159191
88	2355.813459
89	2345.886973
90	2338.229135
91	2328.709981
92	2322.855577
93	2315.598293
94	2309.964095
95	2300.638379
96	2295.014596
97	2287.60622
98	2280.922192
99	2275.485458
100	2267.914873
101	2261.01709
102	2255.071434
103	2249.858541
104	2244.496841
105	2237.569083
106	2232.467242
107	2224.088555
108	2218.003869
109	2210.932137
110	2204.332803
111	2199.109213
112	2192.546703
113	2187.237945
114	2183.595443
115	2178.869357
116	2172.692129
117	2167.836222
118	2162.323012
119	2157.730414
120	2154.23385
121	2149.474356
122	2145.258481
123	2138.777832
124	2133.838086
125	2127.715933
126	2123.858916
127	2120.727367
128	2117.446906
129	2114.448554
130	2109.84275
131	2103.984193
132	2101.597764
133	2095.197075
134	2091.330935
135	2087.126182
136	2081.232549
137	2078.783946
138	2075.647338
139	2071.420585
140	2068.313522
141	2065.320082
142	2062.640508
143	2056.38786
144	2052.823641
145	2048.552724
146	2044.441789
147	2040.387418
148	2036.037771
149	2031.40791
150	2027.162221
151	2024.364558
152	2023.343445
153	2020.755644
154	2017.582573
155	2015.01633
156	2012.039514
157	2010.349045
158	2007.372494
159	2004.208919
160	2000.611522
161	1997.70002
162	1993.227573
163	1989.799327
164	1987.576362
165	1985.055002
166	1982.371175
167	1979.066337
168	1977.043058
169	1973.625901
170	1970.635053
171	1966.348427
172	1962.857848
173	1960.059686
174	1955.814281
175	1953.693516
176	1950.343098
177	1947.306227
178	1943.02523
179	1940.419121
180	1938.821893
181	1935.850108
182	1931.722882
183	1927.739213
184	1925.679729
185	1924.760238
186	1922.387946
187	1920.198133
188	1918.455421
189	1916.1029
190	1913.176497
191	1909.866885
192	1907.29261
193	1905.339257
194	1901.389732
195	1897.752473
196	1892.580593
197	1888.612827
198	1886.034164
199	1881.464323
200	1878.30428
201	1876.599573
202	1874.858776
203	1872.155973
204	1869.185566
205	1867.297057
206	1864.722185
207	1863.020915
208	1859.801729
209	1858.727897
210	1857.806239
211	1852.957177
212	1851.423904
213	1849.896248
214	1849.037164
215	1848.115204
216	1846.631414
217	1845.495985
218	1844.048784
219	1842.255819
220	1841.546712
221	1840.583094
222	1837.565535
223	1834.71726
224	1833.193939
225	1829.337179
226	1827.303442
227	1825.139685
228	1821.974314
229	1817.490987
230	1816.044895
231	1815.003775
232	1813.77118
233	1812.449046
234	1809.451098
235	1808.424355
236	1807.266779
237	1803.172264
238	1802.603521
239	1801.247607
240	1800.477693
241	1799.919245
242	1798.079081
243	1797.425068
244	1793.96631
245	1792.86071
246	1792.302944
247	1787.702195
248	1784.762778
249	1784.104477
250	1778.03008
251	1774.91141
252	1770.63158
253	1767.522542
254	1766.473994
255	1761.888747
256	1759.721191
257	1756.029274
258	1755.338155
259	1754.104869
260	1751.896906
261	1746.836516
262	1745.27678
263	1744.823103
264	1744.363321
265	1742.571269
266	1741.641624
267	1738.963106
268	1738.449312
269	1733.333615
270	1729.221237
271	1724.450323
272	1719.875623
273	1718.969894
274	1717.343981
275	1716.281286
276	1715.173815
277	1710.91428
278	1708.713161
279	1706.045028
280	1705.420214
281	1701.24837
282	1696.294385
283	1693.676995
284	1689.227754
285	1684.892454
286	1681.029821
287	1679.932591
288	1677.218841
289	1672.742654
290	1672.310835
291	1671.194167
292	1670.679324
293	1668.170377
294	1666.202203
295	1664.310539
296	1663.836094
297	1663.421171
298	1661.016338
299	1658.314053
300	1657.231761
301	1655.51028
302	1654.084254
303	1652.171129
304	1651.789674
305	1650.75521
306	1647.339199
307	1641.833784
308	1638.819919
309	1638.018826
310	1636.993782
311	1634.62257
312	1633.933423
313	1631.436639
314	1625.835519
315	1624.358228
316	1622.401954
317	1619.221249
318	1618.112412
319	1613.476303
320	1612.967114
321	1611.960849
322	1611.482666
323	1606.436058
324	1604.079797
325	1600.497621
326	1598.48921
327	1597.398169
328	1595.187643
329	1590.425241
330	1589.504002
331	1587.584854
332	1587.130119
333	1586.705896
334	1582.268723
335	1581.707392
336	1579.624055
337	1578.727344
338	1577.849021
339	1575.618885
340	1570.992568
341	1570.157654
342	1564.818282
343	1563.912812
344	1559.770021
345	1556.560957
346	1552.445821
347	1551.181897
348	1547.932724
349	1546.475395
350	1542.293188
351	1540.401231
352	1536.042147
353	1534.2082
354	1532.055857
355	1530.738585
356	1528.644728
357	1528.237746
358	1527.785631
359	1524.515486
360	1523.98692
361	1520.858121
362	1519.145045
363	1515.052537
364	1510.674155
365	1504.930684
366	1504.417944
367	1502.604888
368	1500.918422
369	1499.086001
370	1498.268357
371	1496.982915
372	1492.695844
373	1489.932406
374	1485.589186
375	1482.50439
376	1481.459333
377	1480.04283
378	1477.440429
379	1476.152561
380	1475.711701
381	1471.580165
382	1468.581626
383	1467.685948
384	1467.262812
385	1462.91252
386	1458.602332
387	1454.299707
388	1450.297582
389	1447.986077
390	1444.72141
391	1443.367596
392	1441.444253
393	1437.926949
394	1435.377082
395	1434.094537
396	1429.289109
397	1425.243669
398	1423.981099
399	1420.846659
400	1419.559038
401	1418.340769
402	1417.894058
403	1414.930898
404	1413.559312
405	1412.453958
406	1408.344014
407	1402.784683
408	1401.193945
409	1399.651924
410	1397.423932
411	1395.838286
412	1393.555333
413	1392.059392
414	1388.411558
415	1386.600442
416	1382.766675
417	1381.55538
418	1377.855548
419	1374.189772
420	1370.720989
421	1369.416696
422	1368.301701
423	1367.822864
424	1367.564168
425	1363.224745
426	1362.242088
427	1360.907785
428	1360.071759
429	1358.764366
430	1358.407583
431	1357.186649
432	1355.72217
433	1353.737603
434	1353.051379
435	1352.321123
436	1348.644928
437	1346.581607
438	1342.721965
439	1341.5479
440	1340.937657
441	1339.960778
442	1337.016475
443	1333.524384
444	1332.356846
445	1331.242855
446	1329.752247
447	1328.662403
448	1328.067913
449	1324.427602
450	1323.245845
451	1320.878066
452	1317.377379
453	1316.342219
454	1311.448987
455	1309.094171
456	1308.281108
457	1304.634978
458	1300.426233
459	1300.011538
460	1297.656294
461	1296.480385
462	1295.431169
463	1295.042863
464	1291.318179
465	1290.491208
466	1287.9259
467	1287.529305
468	1287.166511
469	1286.154061
470	1284.689423
471	1281.400384
472	1278.094093
473	1277.868333
474	1276.626503
475	1273.5894
476	1272.594353
477	1271.516168
478	1267.855716
479	1265.08752
480	1261.435192
481	1258.403465
482	1258.192119
483	1254.816407
484	1253.792671
485	1251.715289
486	1250.738294
487	1249.777913
488	1248.985498
489	1247.992189
490	1247.218783
491	1244.230423
492	1244.031957
493	1243.100104
494	1239.285682
495	1236.378967
496	1233.547882
497	1231.628998
498	1230.710312
499	1230.179694
500	1229.40274
501	1228.686709
502	1228.309073
503	1228.096533
504	1224.557202
505	1222.683256
506	1220.735402
507	1220.412839
508	1220.082715
509	1217.382473
510	1216.490158
511	1215.634966
512	1214.328662
513	1211.970884
514	1209.37902
515	1208.551748
516	1207.698591
517	1207.476104
518	1206.668505
519	1206.476716
520	1205.950861
521	1203.907358
522	1202.828543
523	1202.005084
524	1197.33095
525	1196.581683
526	1196.113988
527	1195.320762
528	1192.811732
529	1192.160793
530	1190.3963
531	1189.376758
532	1185.665123
533	1184.831372
534	1184.010231
535	1182.66283
536	1182.029161
537	1181.696469
538	1177.219085
539	1174.278277
540	1172.0876
541	1169.452338
542	1167.207809
543	1165.920053
544	1164.474537
545	1164.218801
546	1163.464518
547	1162.491138
548	1157.872942
549	1155.448307
550	1155.138812
551	1152.855208
552	1150.875034
553	1148.812725
554	1147.121443
555	1145.673667
556	1144.282289
557	1142.365919
558	1141.648431
559	1139.128421
560	1137.209519
561	1136.906902
562	1135.98791
563	1135.358648
564	1134.127551
565	1133.420889
566	1132.659068
567	1130.109162
568	1129.44198
569	1129.098515
570	1128.910956
571	1126.710276
572	1125.833637
573	1124.303644
574	1123.637497
575	1123.047112
576	1121.167366
577	1119.052014
578	1118.306198
579	1114.747423
580	1113.822718
581	1111.411083
582	1108.359936
583	1105.615242
584	1105.457184
585	1104.032758
586	1103.48341
587	1102.818515
588	1099.574439
589	1097.499096
590	1096.691529
591	1095.839315
592	1094.709155
593	1091.461257
594	1089.891972
595	1088.817381
596	1087.338193
597	1086.667573
598	1084.017385
599	1083.514163
600	1081.296707
601	1078.580269
602	1078.224687
603	1076.953434
604	1076.335634
605	1073.482274
606	1071.790217
607	1071.000418
608	1070.679412
609	1069.085045
610	1068.320475
611	1067.882777
612	1066.136475
613	1063.440543
614	1062.682362
615	1060.883291
