iter	Passed	Remaining
0	197	197195
1	198	99081
2	199	66282
3	200	49886
4	201	40037
5	202	33479
6	202	28786
7	203	25277
8	204	22531
9	205	20339
10	206	18550
11	207	17055
12	208	15802
13	209	14728
14	210	13800
15	210	12973
16	211	12246
17	212	11601
18	213	11025
19	214	10504
20	215	10034
21	216	9607
22	216	9215
23	217	8858
24	218	8527
25	219	8223
26	220	7942
27	221	7680
28	222	7437
29	223	7216
30	224	7004
31	224	6804
32	225	6613
33	226	6436
34	227	6268
35	228	6112
36	229	5962
37	229	5819
38	230	5685
39	231	5557
40	232	5435
41	233	5320
42	234	5209
43	234	5102
44	235	5002
45	236	4907
46	237	4817
47	238	4729
48	239	4645
49	240	4563
50	240	4484
51	241	4408
52	242	4335
53	243	4264
54	244	4197
55	245	4132
56	245	4069
57	246	4007
58	247	3948
59	248	3891
60	249	3835
61	249	3781
62	250	3730
63	251	3681
64	252	3634
65	253	3587
66	254	3542
67	255	3498
68	256	3456
69	257	3416
70	258	3377
71	258	3337
72	259	3298
73	260	3260
74	261	3223
75	262	3189
76	263	3155
77	264	3121
78	264	3087
79	265	3055
80	266	3024
81	267	2994
82	268	2964
83	269	2935
84	269	2906
85	270	2877
86	271	2850
87	272	2823
88	273	2802
89	275	2782
90	276	2758
91	277	2734
92	277	2710
93	278	2687
94	279	2663
95	280	2643
96	281	2621
97	282	2600
98	283	2579
99	284	2558
100	284	2535
101	285	2515
102	286	2496
103	287	2479
104	288	2462
105	289	2444
106	290	2425
107	291	2407
108	292	2388
109	293	2370
110	293	2354
111	294	2337
112	295	2320
113	296	2305
114	297	2288
115	298	2272
116	299	2256
117	299	2242
118	300	2227
119	301	2212
120	302	2198
121	303	2183
122	304	2169
123	305	2154
124	305	2140
125	306	2127
126	307	2113
127	308	2100
128	309	2086
129	309	2074
130	310	2062
131	311	2050
132	312	2038
133	313	2025
134	314	2013
135	315	2002
136	315	1990
137	316	1978
138	317	1966
139	318	1955
140	319	1944
141	319	1930
142	320	1919
143	321	1909
144	321	1898
145	322	1887
146	323	1877
147	324	1866
148	325	1857
149	326	1848
150	327	1839
151	327	1829
152	328	1819
153	329	1810
154	330	1801
155	331	1792
156	332	1783
157	333	1774
158	333	1765
159	334	1757
160	335	1749
161	336	1741
162	337	1733
163	338	1724
164	339	1716
165	340	1708
166	341	1700
167	341	1693
168	342	1685
169	343	1677
170	344	1669
171	345	1661
172	345	1653
173	346	1646
174	347	1639
175	348	1631
176	349	1624
177	350	1617
178	351	1610
179	351	1603
180	352	1596
181	353	1589
182	354	1582
183	355	1575
184	356	1570
185	357	1563
186	358	1556
187	358	1550
188	359	1543
189	360	1538
190	362	1533
191	362	1527
192	363	1520
193	364	1514
194	365	1508
195	366	1502
196	367	1496
197	368	1493
198	369	1488
199	370	1483
200	371	1478
201	372	1472
202	373	1466
203	374	1460
204	375	1454
205	375	1448
206	376	1443
207	377	1437
208	378	1431
209	379	1425
210	379	1420
211	380	1414
212	381	1410
213	382	1406
214	383	1400
215	384	1396
216	385	1391
217	386	1386
218	387	1381
219	388	1376
220	389	1371
221	389	1365
222	390	1360
223	391	1355
224	392	1350
225	392	1345
226	393	1340
227	394	1335
228	395	1330
229	396	1326
230	397	1321
231	397	1317
232	398	1312
233	399	1307
234	400	1303
235	401	1298
236	401	1294
237	402	1289
238	403	1285
239	404	1281
240	405	1276
241	406	1272
242	406	1267
243	407	1263
244	408	1259
245	409	1254
246	410	1250
247	410	1246
248	411	1242
